tatripid,tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,origtatripno,dly,dyn,prdctdn,zone,psgld,stst,stsd
209151,20210912 01:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 02:00,4408CC,209151,False,0,DUE,,,93600,2021-09-11
209153,20210912 01:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:53,4802OXM,209153,False,0,DUE,,,93180,2021-09-11
209155,20210912 01:46,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:47,4410CC,209155,False,0,DUE,,,92820,2021-09-11
209157,20210912 01:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:40,4408CC,209157,False,0,DUE,,,92400,2021-09-11
209159,20210912 01:32,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:33,4802OXM,209159,False,0,DUE,,,91980,2021-09-11
209161,20210912 01:26,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:27,4410CC,209161,False,0,DUE,,,91620,2021-09-11
209163,20210912 01:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:20,4408CC,209163,False,0,DUE,,,91200,2021-09-11
209165,20210912 01:12,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:13,4802OXM,209165,False,0,DUE,,,90780,2021-09-11
209167,20210912 01:06,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:07,4410CC,209167,False,0,DUE,,,90420,2021-09-11
209170,20210912 00:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 01:00,4409CC,209170,False,0,DUE,,,90000,2021-09-11
209172,20210912 00:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 00:53,4802OXM,209172,False,0,DUE,,,89580,2021-09-11
